,sử,dụng,áo,nịt,khi,mang,thai,và,cho,con,bú,các,tuyến,sữa,phát,triển,mạnh,về,kích,thước,khiến,bầu,vú,lớn,lên,rõ,rệt,để,bảo,vệ,nó,chị,em,chọn,loại,cỡ,hơn,cần,thay,đổi,theo,sự,của,nhi,nhằm,giúp,tốt,chuẩn,bị,tiết,sau,sinh,hiện,nay,không,ít,phụ,nữ,đủ,hoặc,có,tượng,này,thường,gặp,ở,thành,phố,mặc,dù,họ,nhiều,điều,kiện,bồi,dưỡng,sức,khỏe,so,với,nông,thôn,vậy,nguyên,nhân,do,đâu,phải,khẳng,định,ngay,rằng,rất,hiếm,thực,thiếu,nếu,xảy,ra,là,biết,nguồn,quan,trọng,chăm,sóc,chưa,hợp,lý,một,số,lười,muốn,người,lại,ngại,ngực,ảnh,hưởng,tới,sắc,đẹp,nên,đã,dùng,chật,thậm,chí,còn,lót,bó,chặt,việc,cung,cấp,huyết,dịch,trở,tế,bào,tăng,trưởng,kém,giảm,sút,dẫn,đến,mất,cũng,đeo,như,thế,sẽ,gây,chèn,ép,cách,lợi,nâng,giữ,vị,trí,cố,thì,cặp,đang,to,rủ,xuống,tác,động,lực,phần,nửa,trên,kéo,căng,dưới,dồn,ống,cong,queo,nang,nhỏ,đi,chảy,sệ,quá,làm,ứ,đọng,mạch,nuôi,khó,lưu,thông,trong,phù,bằng,chất,vải,100,cotton,tại,sao,nghiên,cứu,mình,giáo,sư,nhật,bản,kính,hiển,vi,phân,tích,vừa,lấy,xoa,bóp,150,ông,thấy,80,bà,mẹ,ấy,những,sợi,len,hóa,học,li,ti,vì,phòng,ngừa,tắc,nghẽn,thời,kỳ,nhất,tổng,quần,may,nylon,tạo,nhung,lông,mà,lựa,chú,ý,giặt,trước,giũ,sạch,bông,bám,tránh,đó,lọt,vào
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042802835102775785,,,,,,0.07053392880482032,,0.10816267826281797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13017408564477814,,,,0.08043158456077343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09254533618678049,,,,,,,,0.13017408564477814,0.16780283510277577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.010376444873400191,0.017099134255714018,,0.01949856595412689,,0.022435233014977088,0.011763035496450951,,,,,,0.015070443660846953,0.017099134255714018,,,,,,0.031557354095703795,0.013313111934250383,,,,,0.01949856595412689,,,,,,,,,,,,,,,0.015070443660846953,,,,,,,,,,,,0.010376444873400191,,,,,,,,,,,0.02622125533644072,,,,,,,,,,,,,,,,,,,,0.022435233014977088,,,,0.031557354095703795,,,,,,,0.031557354095703795,,,,,,,0.031557354095703795,,,,,,,,,,,,,0.031557354095703795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02622125533644072,,,,,,0.04067947517643049,0.04067947517643049,0.04067947517643049,0.04067947517643049,0.04067947517643049,0.04067947517643049,0.04067947517643049,0.031557354095703795,0.04067947517643049,0.04067947517643049,0.04067947517643049,0.04067947517643049,0.04067947517643049,0.04067947517643049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,0.027629146711552744,0.012693296028631635,0.027629146711552744,0.03134841280214236,,,,,,,0.024407371879459034,,,,,,,,,,,,,,,,,,,,0.027629146711552744,,,,0.04113126052745799,,0.0357473709158993,,,,,,0.01902348226790035,,,,,,,,,,,0.04807230145014132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0357473709158993,,,,,,,,,,,,,,,,,,,,,,,,0.03134841280214236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04807230145014132,,,,,,,,,,,,,,,,,,,,0.05785514917545695,0.05785514917545695,0.05785514917545695,0.07457903782345589,0.07457903782345589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,0.04736425150551899,0.010879968024541402,,,,,,,,,0.020920604468107742,,,,,,,,,,,,,,,,,,,,0.023682125752759495,,,,,,0.0612812072843988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03525536616639256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026870068116122026,,,,,,0.041204829814406846,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04959012786467738,,,,,,,,,,,,,,,,,0.04959012786467738,0.04959012786467738,,,,0.06392488956296219,0.06392488956296219,0.04959012786467738,0.06392488956296219,0.06392488956296219,0.06392488956296219,0.04959012786467738,0.06392488956296219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,0.018484770065851495,,,0.08240965962881369,0.023682125752759495,0.010879968024541402,,,,,,,,,0.020920604468107742,,,,,,,,,,,,,,,,,,,,,,,,,,0.0306406036421994,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04959012786467738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041204829814406846,,,,,,,,,,,,,,,,,,,,0.03525536616639256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06392488956296219,0.06392488956296219,0.06392488956296219,0.06392488956296219,0.06392488956296219,0.06392488956296219,0.06392488956296219,0.06392488956296219,0.06392488956296219,0.06392488956296219,0.06392488956296219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.014887942644443751,0.024533540453850543,0.02797620332548641,,0.024533540453850543,0.032189682151923645,,,,,,,,,,,0.04527794283296631,0.04527794283296631,,,,,,,,,,,,0.037621801134893204,0.037621801134893204,0.037621801134893204,0.037621801134893204,,,,,,,,,,,,,,,,,,,,,,,,,,0.04906708090770109,,,,,,,,,,,,,,,,,,,,,,0.037621801134893204,,,,,,,,,,,,,,,,,,,,,,,,,0.037621801134893204,,,,,,,,,,,,,,,0.024533540453850543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032189682151923645,0.058366203514008966,0.037621801134893204,0.058366203514008966,0.04527794283296631,0.04527794283296631,0.04527794283296631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,0.01049135598332112,0.02000980241876335,0.02000980241876335,,,0.012350233973803755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026882413016645915,,,,,,,,,,,,,,0.017390612878005068,0.017390612878005068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02338652502979848,,,0.017390612878005068,,,,,,,,,,,0.0281457482475196,,,,,,,,,,,,,,0.0281457482475196,0.0281457482475196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0281457482475196,,,,,,,,,0.0281457482475196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02000980241876335,,0.02338652502979848,,,,,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,0.010879968024541402,0.023682125752759495,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023682125752759495,,,,,,,,,,0.041204829814406846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04959012786467738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04959012786467738,,,,,,,,,,,,,0.03525536616639256,,,,,,,,,,,,,,,,,,,,,,,,,,0.06392488956296219,0.06392488956296219,0.06392488956296219,0.06392488956296219,0.06392488956296219,0.06392488956296219,0.04959012786467738,0.08240965962881369,0.04959012786467738,0.06392488956296219,0.06392488956296219,0.06392488956296219,0.06392488956296219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,0.02568170106166547,,,0.016086316912154685,0.014106785760964064,,,,,,0.012433116020198736,0.005711983212884237,,,,,,,,,,,,,,0.016086316912154685,,,,,,,,,,,,,,,,,,,0.018509067237356097,,,,,,,,0.017121134041110316,,,,,,,,,,,,,,0.037018134474712194,,,,,,,,,,,,,,0.021632535652563595,,0.021632535652563595,,,,,,,,,,,,,,,,,,,,,,,0.021632535652563595,,,,,,,,,,,,,,,0.02821357152192813,,,,,,,0.021632535652563595,,,,,,,,,,,,,,,,,,,0.018509067237356097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018509067237356097,,0.021632535652563595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04326507130512719,0.02603481712895563,,,,,0.033560567020555154,0.033560567020555154,0.033560567020555154,0.033560567020555154,0.033560567020555154,0.033560567020555154,0.033560567020555154,0.033560567020555154,0.033560567020555154,0.033560567020555154,0.033560567020555154,0.033560567020555154,0.033560567020555154,0.033560567020555154,0.033560567020555154,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10816267826281797,0.10816267826281797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07053392880482032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13017408564477814,0.13017408564477814,0.13017408564477814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16780283510277577,0.16780283510277577,,,,,,,,,,,,
20,,,0.048917525831743754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12361448944322054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14877038359403216,,,,,,,,,,,,,,,,,,,,,,,,,0.12361448944322054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1917746686888866,0.1917746686888866,0.1917746686888866,,,,,,,,,
21,,,0.015564667310100287,,0.02924784893119034,,,,,,,,0.022605665491270428,0.010385424023425885,,,,,,,,,,,,,,0.02924784893119034,,,,,,,,,,0.04733603114355569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03365284952246563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04733603114355569,,,,,0.04733603114355569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09467206228711138,0.07866376600932216,,,,,,,,,,,,,,,,,,,,,,,,,,0.06101921276464574,0.06101921276464574,0.06101921276464574,0.06101921276464574,0.06101921276464574,0.06101921276464574,0.06101921276464574,0.06101921276464574,0.06101921276464574
