,nhân,vật,cứng,rắn,kế,nhiệm,yassin,trong,hamas,abdel,aziz,al,rantisi,vừa,tiếp,quản,ghế,thủ,lĩnh,phong,trào,du,kích,hồi,giáo,ở,gaza,là,một,những,người,phản,đối,mạnh,mẽ,nhất,việc,thoả,hiệp,với,israel,ông,cho,rằng,palestine,có,quyền,kháng,do,thái,bằng,mọi,biện,pháp,kể,cả,đánh,bom,tự,sát,nhằm,vào,thường,dân,đó,không,phải,chủ,nghĩa,khủng,bố,nói,về,vụ,tấn,công,trên,tờ,báo,tiếng,ảrập,kut,arab,năm,1998,ứng,của,cá,và,chính,phủ,mình,7,nhà,sáng,lập,quan,trọng,thứ,hai,tổ,chức,chỉ,sau,tinh,thần,ahmed,từ,trước,giết,hại,đã,trị,tại,thành,phố,sinh,1947,được,đào,tạo,trở,bác,sĩ,nhi,khoa,thời,gian,học,ai,cập,thập,kỷ,1970,rất,tâm,tới,huynh,đệ,bị,đất,nước,trung,đông,đặt,ra,ngoài,vòng,luật,bắt,đầu,nổi,bật,intifada,tiên,cuối,1980,1990,giữ,vài,lần,mỗi,lại,ngồi,tù,2,rưỡi,1992,số,hơn,400,trục,xuất,sang,libăng,phát,ngôn,trại,marj,zahour,khi,hệ,giữa,tịch,yasser,arafat,cũng,tốt,đẹp,các,yêu,cầu,cao,cấp,cáo,buộc,cộng,tác,chế,tháng,phóng,thích,theo,lệnh,toà,thượng,thẩm,vẫn,xuyên,trích,trách,luôn,sẵn,sàng,lộ,trình,hoà,bình,lời,kêu,gọi,ngừng,bắn,để,cơ,hội,thực,thi,tướng,mahmoud,abbas,còn,vì,tham,gia,đàm,ariel,sharon,tổng,thống,mỹ,george,w,bush,jordan,6,2003
10,,,,,,,,0.014334761698284819,,,,,0.01651368982022173,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024898987870492266,0.012363681452655052,,,,,,,,,,,,,,,,,,,,,,,0.03923374956877708,,,,,,,,,,,,,,,,,,,0.028669523396569637,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03923374956877708,,,,,,,,,,,,,,,0.047619047619047616,0.047619047619047616,,,,,,,,,,,,0.028669523396569637,,,,,,,,,,0.0332842859207628,,,,,,,,,0.047619047619047616,0.06195380931733244,0.12390761863466487,0.06195380931733244,0.047619047619047616,0.06195380931733244,0.06195380931733244,0.047619047619047616,0.06195380931733244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,0.01720171403794178,,,,0.02354024974126625,,,,,,,,,,0.02857142857142857,0.02857142857142857,0.01720171403794178,0.01997057155245768,0.02354024974126625,,,,0.01997057155245768,0.0470804994825325,,,,,,,,,,,0.007418208871593031,0.01997057155245768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01720171403794178,,,,,0.02354024974126625,,,,,,,,,,,,,,,,,,,,,,,,,,0.02354024974126625,,,,,,,0.02354024974126625,,,,,,,,,,,,,,,,,,0.03440342807588356,,,,,,,,,,,,,,,,0.02857142857142857,,,,,,,,,,,,0.037172285590399465,0.02857142857142857,0.037172285590399465,0.037172285590399465,0.07434457118079893,0.07434457118079893,0.037172285590399465,0.037172285590399465,0.037172285590399465,0.037172285590399465,0.037172285590399465,0.037172285590399465,0.037172285590399465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,0.015763067555666196,,,,,,,,,,,,,,0.037450397315650856,,,,,,,,,,,,,0.0207241798022602,,,,,0.0207241798022602,,0.02736636324218011,,,,,,,,,,,,,,,,,,,0.045454545454545456,,0.037450397315650856,,,,,,,,,,,,,,,,,,,0.023767215694560802,,,0.023767215694560802,,,,,,,0.031771363833455406,,,,,,,0.031771363833455406,,,,,,,,,,,,,,,,,,0.037450397315650856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045454545454545456,,,,,,,,,,,,,,,,,,0.037450397315650856,0.05913772707563551,0.05913772707563551,0.05913772707563551,0.05913772707563551,0.05913772707563551,0.05913772707563551,0.05913772707563551,0.05913772707563551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.02912375018066745,0.034329530872679946,,,,,,0.012542916485999216,,,,,,,,,,,,,,,,,,,,,0.02912375018066745,,,,,,,,,,,,,0.01081822127107317,,,0.018997164818738515,,0.025085832971998432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041666666666666664,,,,,0.021786614386680732,,,,,,,0.02912375018066745,,,,,0.06865906174535989,,0.02912375018066745,,,,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025085832971998432,,,,,,,,,,0.02912375018066745,,,,,,,,,0.041666666666666664,,,,,,,,,,0.041666666666666664,,,,,,,,,,,,0.034329530872679946,,,,,,,,,0.054209583152665886,0.054209583152665886,0.054209583152665886,0.054209583152665886,0.054209583152665886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,0.014334761698284819,0.028669523396569637,,,,0.01651368982022173,,,,,,,,,,,,,,,,0.0332842859207628,,,,,,,,0.047619047619047616,,,0.021711045507129732,0.024898987870492266,,,,0.021711045507129732,,0.028669523396569637,,,,,,,,,,,0.047619047619047616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024898987870492266,,,0.024898987870492266,,,,0.03923374956877708,,,,,,,,,,,,,,,,0.047619047619047616,0.047619047619047616,,,,,,,,,,0.03923374956877708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047619047619047616,0.047619047619047616,0.06195380931733244,0.06195380931733244,0.06195380931733244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01527278297092683,,,0.026819526802924962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030757573251784565,,,,,,,,,,,,,,,,,0.04111588260800111,,,,,,,,,,,,,,,0.04846522005554816,,,,,,,,,,,,,,,,,,,,,0.0354152936075272,,,,,,,,,,0.04111588260800111,,,,,,,,,,,,,,,,0.058823529411764705,,,,,,,,,,,,,,,0.04846522005554816,,,,,,,,,,,,,,,,,,,0.058823529411764705,0.07653117621552831,0.07653117621552831,0.07653117621552831,0.07653117621552831,0.07653117621552831,0.07653117621552831,0.07653117621552831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,0.01157807675630697,,,,,0.01333798023940986,,,,,,,,,,,,,,,,,,,,,,,,,0.038461538461538464,0.038461538461538464,0.017535844448066322,0.020110720972320677,,,,0.017535844448066322,,0.02315615351261394,,,,,,,,,,,,,,,,0.03168879772862765,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020110720972320677,,,,0.03168879772862765,,,,,,,,0.03168879772862765,0.03168879772862765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038461538461538464,0.038461538461538464,,,,,,,,,,,,0.05003961521784544,0.05003961521784544,0.038461538461538464,0.05003961521784544,0.05003961521784544,0.05003961521784544,0.05003961521784544,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,0.024082399653118498,,,,,,,,,,,,,,0.027958800173440754,0.04,,,,,,,,,0.010385492420230244,0.027958800173440754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020915149811213504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032956349637772754,,0.032956349637772754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.04,0.04,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.04,0.05204119982655925,0.05204119982655925,0.04,0.05204119982655925,0.04,,,,,,,,,,,,,,,,
18,,,,,,,,,0.024082399653118498,,,,,,,,,0.048164799306236995,0.027958800173440754,,,,,,,,,,,,,,,,,,,,,0.018237278225988977,0.020915149811213504,0.010385492420230244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032956349637772754,,,,,,,,,,,,,,0.032956349637772754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,0.04,,,0.04,,0.04,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,0.08600857018970891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1858614279519973,0.1858614279519973,0.1858614279519973,0.1858614279519973
