,cắm,hoa,theo,chủ,đề,biển,gọi,trong,những,ngày,hè,rực,nắng,nếu,nhà,bạn,có,một,góc,dành,để,arctangza,màu,xanh,lơ,xung,quanh,trang,trí,thêm,vài,vỏ,ốc,sẽ,rất,lãng,mạn,nó,đem,đến,cho,cảm,giác,gần,gũi,với,cả,kiểu,1,mang,tên,dán,và,rải,nhỏ,bình,cắt,ngắn,cành,che,miệng,2,khô,đan,xen,vào,nhau,so,le,từ,trái,sóng,tình,trên,quấn,sát,tiếp,phía,bên,dưới,sỏi,3,dâng,thân,sang,phải,rủ,xuống,ngay,4,ngọn,thủy,triều,5,đại,dương,đĩa,men,đặt,ngang,còn,lại,cong,về,nhánh,ngoài,cạnh
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11933389060579987,,0.11933389060579987,0.11933389060579987,,,,,,,,,,,,,,,,,,,,,0.18565722538447277,,,,,,,,,,0.23582889132846965,0.23582889132846965,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10126757748243971,,0.04188462168468119,0.04188462168468119,,,,,,,,,,,,,,,,,,,0.06509121305770903,,0.0578929179624704,,0.030526554720290283,,,,,,,,,,0.051806846177869195,,,,,,,,,,,,,0.0739012142402596,0.10126757748243971,0.0739012142402596,,,0.1286339407246198,,,,,,,,,,,,,,,,,,,,,,,
12,0.03357921019231931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03357921019231931,,,,0.06368220975871744,,,,,,,0.11139433523068368,0.08129133566428556,,,,,,,,0.08129133566428556,,,,,,0.1414973347970818,0.11139433523068368,0.11139433523068368,0.1414973347970818,,,,,,,,,,,,,,,,,,,
13,0.041974012740399136,,,,,,,,,,,,,,,,,,,,,0.07960276219839679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041974012740399136,0.07960276219839679,0.07960276219839679,0.041974012740399136,,0.10161416958035695,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1392429190383546,,,,,,,,,,,,,,,,,,
14,0.037310233547021454,,,,,,,,,,,,,,,,,,,,,,,,,0.05119231539238812,0.05119231539238812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037310233547021454,,,0.037310233547021454,,,,0.07075801084301937,0.10420578813901726,,0.06331947866184012,0.10420578813901726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10228619194782845,,0.10228619194782845,0.10228619194782845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20213904971011684,0.20213904971011684,0.20213904971011684,0.20213904971011684,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,0.05759135481643664,0.05759135481643664,,,,,0.05759135481643664,0.05759135481643664,,,,,,,,,,,,,,,,,,,0.0895004179543499,0.10161416958035695,,,0.041974012740399136,,,,,,,,,,,,,,,,,,,,,,,,,0.10161416958035695,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.041974012740399136,,,,,,,,,,,,,,,,,,,,,0.07960276219839679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041974012740399136,0.07960276219839679,0.07960276219839679,0.041974012740399136,,0.10161416958035695,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1392429190383546,,,,,,,,,,,,,,,,,,
18,0.03357921019231931,,,,,,,,,,,,,,,,,,,,,,,,,0.046073083853149316,0.046073083853149316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03357921019231931,,,0.03357921019231931,,,,0.06368220975871744,0.09378520932511555,0.11139433523068368,0.05698753079565612,0.09378520932511555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11933389060579987,,0.11933389060579987,0.11933389060579987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23582889132846965,0.23582889132846965,0.23582889132846965,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06581869121878473,0.06581869121878473,,,,,,,,,,,,,,,,,,,0.10228619194782845,,,,,,,,,,0.11613047952040793,,,,0.08141075827950874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15913476461526238,0.20213904971011684,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,0.06581869121878473,0.06581869121878473,,,,,0.06581869121878473,0.06581869121878473,,,,,,,,,,,,,,,,,,,,0.11613047952040793,0.09097458536959632,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11613047952040793,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,0.18565722538447277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05596535032053218,,,,0.10613701626452905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18565722538447277,,0.23582889132846965,0.23582889132846965,,,,,,,
23,0.030526554720290283,,,,,,,,,,,,,,,,,,0.0739012142402596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030526554720290283,,,,,,,,,,,,0.0739012142402596,,,,,,,,0.0739012142402596,,,,,,,0.10126757748243971,0.10126757748243971,,,,,,,,,,,,,,0.1286339407246198,0.1286339407246198,0.1286339407246198,0.1286339407246198,,,
24,0.03357921019231931,0.06368220975871744,,,,,,,,,,,,,,,,,,,,0.06368220975871744,,,,,,,,,,0.046073083853149316,0.046073083853149316,,,,,,,,,,,,,,,,,,,,,,,,0.06368220975871744,0.06368220975871744,0.03357921019231931,,,0.08129133566428556,,,,0.05698753079565612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,0.14151602168603875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12377148358964851,,,,,,,,,,,,,,,,,,,,,,,0.07075801084301937,,0.037310233547021454,,,,,,,,,,,,,,,,,,,,,,0.12377148358964851,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15721926088564644,0.15721926088564644,0.15721926088564644
